cnt,msgCnt,gpsSecond,latitude,longitude,elevation,latError,lonError,speedMS2,speedMPH,heading,fwdAccel,latAccess,vertAccel,yawRate
1429,21,29640,40.72548061,-74.53862519,51.8,0.05,0.05,0,45.358,80.58,-0.38,-0.16,0.18,-1.52
1430,22,29860,40.72548459,-74.53859352,51.9,0.05,0.05,0,45.165,80.63,0.31,-0.1,0.4,-1.83
1431,23,30070,40.72548854,-74.53856211,51.9,0.05,0.05,0,44.741,80.57,-0.02,-0.15,0.41,-1.03
1432,24,30360,40.72549382,-74.53852048,51.9,0.05,0.05,0,44.409,80.6,-0.06,-0.09,0.26,-2.02
1433,25,30580,40.72549771,-74.53848956,51.9,0.05,0.05,0,43.942,80.66,0.19,0.05,0.26,-1.03
1434,26,30790,40.72550152,-74.5384589,51.9,0.05,0.05,0,43.568,80.77,0.08,0.35,0.11,-2.09
1435,27,31010,40.72550532,-74.53842849,51.9,0.05,0.05,0,43.404,80.89,-0.12,-0.65,0.85,-0.73
1436,28,31300,40.72551025,-74.53838808,51.9,0.05,0.05,0,43.187,81.06,-0.08,-0.08,-0.25,-1.55
1437,29,31510,40.72551392,-74.53835788,51.8,0.05,0.05,0,43.016,81.19,-0.02,-0.05,-0.29,-1.78
1438,30,31800,40.7255187,-74.53831768,51.8,0.05,0.05,0,42.879,81.31,0.01,-0.09,-0.88,-1.83
1439,31,32020,40.72552218,-74.53828743,51.7,0.05,0.05,0,43.15,81.43,-0.19,0.17,0.03,-1.39
1440,32,32300,40.72552672,-74.53824709,51.6,0.05,0.05,0,43.292,81.75,0.06,-0.52,-0.26,-1.39
1441,33,32520,40.72553004,-74.53821666,51.6,0.05,0.05,0,43.452,81.94,-0.04,-0.27,-0.45,-1.45
1442,34,32740,40.72553326,-74.53818607,51.5,0.05,0.05,0,43.651,82.16,-0.3,-0.34,-0.91,-1.61
